Player,adr,assists__per__round,b_adr,b_assists__per__round,b_damage__per__round,b_deaths__per__round,b_dpr,b_grenade_dmg__per__round,b_headshot_%,b_impact,b_k_per_d_ratio,b_kast,b_kills__per__round,b_kpr,b_maps_played,b_rating,b_rating_1.0,b_rating_2.0,b_rounds_played,b_saved_by_teammate__per__round,b_saved_teammates__per__round,b_total_deaths,b_total_kills,b_vs_top10,b_vs_top20,b_vs_top30,b_vs_top5,damage__per__round,deaths__per__round,dpr,grenade_dmg__per__round,headshot_%,impact,k_per_d_ratio,kast,kills__per__round,kpr,m_adr,m_assists__per__round,m_deaths__per__round,m_dpr,m_headshot_%,m_impact,m_k_per_d_ratio,m_kast,m_kills__per__round,m_kpr,m_maps_played,m_rating,m_rating_1.0,m_rounds_played,m_total_deaths,m_total_kills,m_vs_top10,m_vs_top20,m_vs_top30,m_vs_top5,maps_played,rating,rating_2.0,rounds_played,saved_by_teammate__per__round,saved_teammates__per__round,total_deaths,total_kills,vs_top10,vs_top20,vs_top30,vs_top5,MVPs,EVPs,Rank
ZywOo,85.8,0.13,86.8,0.14,86.8,0.63,0.63,4.5,43.2,1.38,1.21,70.9,0.76,0.76,7.0,1.24,-1.0,1.24,203.0,0.06,0.09,128.0,155.0,1.22,1.24,1.24,1.24,85.8,0.61,0.61,4.3,39.3,1.39,1.33,74.8,0.81,0.81,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,205.0,1.3,1.3,5479.0,0.1,0.12,3350.0,4457.0,1.29,1.29,1.29,1.29,6,0,1
s1mple,84.4,0.1,87.6,0.12,87.6,0.56,0.56,4.6,33.2,1.37,1.47,75.9,0.83,0.83,18.0,1.34,-1.0,1.34,448.0,0.08,0.08,252.0,371.0,1.31,1.34,1.34,1.34,84.4,0.6,0.6,2.9,39.0,1.35,1.41,73.9,0.85,0.85,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,206.0,1.29,1.29,5496.0,0.08,0.1,3299.0,4663.0,1.27,1.3,1.28,1.29,2,1,2
device,80.5,0.11,78.4,0.07,78.4,0.58,0.58,4.4,41.5,1.19,1.31,73.1,0.76,0.76,8.0,1.21,-1.0,1.21,208.0,0.08,0.07,121.0,159.0,1.09,1.21,1.21,1.21,80.5,0.62,0.62,4.8,36.6,1.27,1.25,71.6,0.77,0.77,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,191.0,1.2,1.2,5058.0,0.07,0.08,3128.0,3904.0,1.16,1.2,1.21,1.2,3,0,3
NiKo,86.1,0.13,84.9,0.12,84.9,0.66,0.66,8.6,40.6,1.23,1.12,71.8,0.74,0.74,11.0,1.17,-1.0,1.17,294.0,0.11,0.08,193.0,217.0,1.18,1.18,1.17,1.17,86.1,0.67,0.67,5.8,51.6,1.29,1.15,70.5,0.77,0.77,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,198.0,1.19,1.19,5397.0,0.08,0.1,3627.0,4169.0,1.21,1.19,1.19,1.19,1,0,4
electronic,80.8,0.14,78.6,0.13,78.6,0.63,0.63,6.2,48.9,1.23,1.11,68.5,0.7,0.7,18.0,1.12,-1.0,1.12,448.0,0.06,0.08,283.0,315.0,1.11,1.12,1.12,1.12,80.8,0.65,0.65,5.1,51.6,1.18,1.11,70.8,0.72,0.72,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,206.0,1.14,1.14,5496.0,0.07,0.09,3558.0,3955.0,1.15,1.14,1.14,1.14,1,0,5
blameF,83.7,0.13,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,83.7,0.57,0.57,7.2,40.7,1.2,1.31,75.6,0.75,0.75,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,251.0,1.23,1.23,6743.0,0.06,0.09,3845.0,5052.0,1.14,1.17,1.18,1.22,0,0,6
ropz,81.2,0.1,79.5,0.1,79.5,0.58,0.58,0.9,53.0,1.12,1.41,75.9,0.82,0.82,10.0,1.21,-1.0,1.21,245.0,0.08,0.09,143.0,202.0,1.11,1.19,1.21,1.21,81.2,0.63,0.63,2.9,51.8,1.14,1.24,72.5,0.78,0.78,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,174.0,1.17,1.17,4644.0,0.07,0.09,2924.0,3624.0,1.15,1.16,1.16,1.17,0,1,7
EliGE,84.2,0.15,87.8,0.15,87.8,0.68,0.68,5.6,48.2,1.36,1.11,67.5,0.76,0.76,9.0,1.18,-1.0,1.18,252.0,0.1,0.1,172.0,191.0,1.17,1.18,1.18,1.18,84.2,0.68,0.68,4.3,47.7,1.29,1.12,70.5,0.76,0.76,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,177.0,1.17,1.17,4755.0,0.1,0.12,3234.0,3613.0,1.13,1.16,1.16,1.16,1,0,8
dupreeh,75.2,0.14,75.8,0.18,75.8,0.69,0.69,5.0,49.3,1.03,1.01,72.6,0.7,0.7,8.0,1.06,-1.0,1.06,208.0,0.06,0.1,144.0,146.0,1.06,1.06,1.06,1.06,75.2,0.64,0.64,4.4,51.4,1.1,1.09,71.2,0.7,0.7,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,191.0,1.1,1.1,5058.0,0.09,0.09,3256.0,3558.0,1.09,1.09,1.1,1.09,0,0,9
syrsoN,73.9,0.09,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,73.9,0.6,0.6,3.1,26.7,1.24,1.21,70.6,0.73,0.73,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,277.0,1.16,1.16,7405.0,0.07,0.08,4472.0,5421.0,1.12,1.13,1.13,1.14,1,0,10
