Player,adr,assists__per__round,b_adr,b_assists__per__round,b_damage__per__round,b_deaths__per__round,b_dpr,b_grenade_dmg__per__round,b_headshot_%,b_impact,b_k_per_d_ratio,b_kast,b_kills__per__round,b_kpr,b_maps_played,b_rating,b_rating_2.0,b_rounds_played,b_saved_by_teammate__per__round,b_saved_teammates__per__round,b_total_deaths,b_total_kills,b_vs_top10,b_vs_top20,b_vs_top30,b_vs_top5,damage__per__round,deaths__per__round,dpr,grenade_dmg__per__round,headshot_%,impact,k_per_d_ratio,kast,kills__per__round,kpr,m_adr,m_assists__per__round,m_damage__per__round,m_deaths__per__round,m_dpr,m_grenade_dmg__per__round,m_headshot_%,m_impact,m_k_per_d_ratio,m_kast,m_kills__per__round,m_kpr,m_maps_played,m_rating,m_rating_2.0,m_rounds_played,m_saved_by_teammate__per__round,m_saved_teammates__per__round,m_total_deaths,m_total_kills,m_vs_top10,m_vs_top20,m_vs_top30,m_vs_top5,maps_played,rating,rating_2.0,rounds_played,saved_by_teammate__per__round,saved_teammates__per__round,total_deaths,total_kills,vs_top10,vs_top20,vs_top30,vs_top5
ZywOo,85.8,0.12,87.0,0.12,87.0,0.61,0.61,3.7,37.6,1.4,1.37,74.7,0.84,0.84,119.0,1.31,1.31,3085.0,0.11,0.12,1891.0,2590.0,1.28,1.28,1.28,1.29,85.8,0.6,0.6,3.8,39.4,1.41,1.4,75.5,0.83,0.83,83.0,0.12,83.0,0.62,0.62,4.4,40.3,1.36,1.3,73.5,0.81,0.81,31.0,1.25,1.25,831.0,0.08,0.12,517.0,670.0,1.12,1.17,1.21,1.25,270.0,1.32,1.32,7045.0,0.1,0.12,4206.0,5868.0,1.28,1.27,1.28,1.29
s1mple,85.3,0.1,84.0,0.1,84.0,0.59,0.59,3.2,42.9,1.33,1.4,74.6,0.83,0.83,100.0,1.28,1.28,2632.0,0.08,0.1,1558.0,2183.0,1.23,1.27,1.28,1.28,85.3,0.59,0.59,2.9,42.9,1.35,1.43,74.7,0.85,0.85,76.9,0.1,76.9,0.55,0.55,2.6,36.2,1.16,1.38,77.3,0.76,0.76,21.0,1.24,1.24,586.0,0.09,0.08,324.0,448.0,1.2,1.24,1.24,1.24,141.0,1.3,1.3,3765.0,0.08,0.1,2239.0,3205.0,1.23,1.27,1.28,1.3
device,81.1,0.13,81.8,0.13,81.8,0.6,0.6,4.7,32.0,1.31,1.29,72.2,0.78,0.78,126.0,1.23,1.23,3322.0,0.08,0.08,1997.0,2581.0,1.22,1.22,1.22,1.23,81.1,0.6,0.6,4.7,32.5,1.3,1.29,72.5,0.77,0.77,83.0,0.11,83.0,0.58,0.58,4.9,31.9,1.4,1.41,72.5,0.82,0.82,24.0,1.29,1.29,647.0,0.07,0.09,374.0,529.0,1.28,1.3,1.3,1.29,159.0,1.22,1.22,4170.0,0.08,0.08,2499.0,3222.0,1.2,1.21,1.21,1.22
EliGE,85.7,0.14,85.9,0.15,85.9,0.65,0.65,4.6,50.2,1.31,1.19,70.9,0.78,0.78,147.0,1.21,1.21,3957.0,0.09,0.1,2582.0,3069.0,1.19,1.21,1.2,1.21,85.7,0.65,0.65,4.7,51.4,1.3,1.19,71.2,0.78,0.78,86.7,0.12,86.7,0.67,0.67,4.1,49.3,1.24,1.15,67.9,0.78,0.78,15.0,1.16,1.16,445.0,0.08,0.13,299.0,345.0,1.14,1.16,1.16,1.16,223.0,1.21,1.21,5868.0,0.09,0.11,3836.0,4582.0,1.19,1.2,1.2,1.2
Magisk,80.8,0.16,80.8,0.16,80.8,0.62,0.62,6.7,44.5,1.12,1.17,74.7,0.72,0.72,126.0,1.16,1.16,3322.0,0.09,0.09,2045.0,2400.0,1.16,1.15,1.15,1.16,80.8,0.61,0.61,6.5,44.5,1.12,1.19,74.9,0.73,0.73,79.7,0.15,79.7,0.6,0.6,5.8,41.9,1.18,1.26,76.4,0.76,0.76,24.0,1.2,1.2,647.0,0.09,0.09,389.0,489.0,1.24,1.21,1.21,1.2,159.0,1.17,1.17,4170.0,0.08,0.09,2550.0,3025.0,1.15,1.14,1.15,1.16
electronic,84.6,0.15,85.9,0.15,85.9,0.63,0.63,5.4,47.4,1.29,1.21,73.1,0.76,0.76,100.0,1.23,1.23,2632.0,0.08,0.09,1652.0,2004.0,1.15,1.22,1.22,1.22,84.6,0.63,0.63,5.4,47.5,1.26,1.19,72.9,0.75,0.75,84.3,0.13,84.3,0.61,0.61,4.5,47.1,1.21,1.23,73.4,0.75,0.75,21.0,1.22,1.22,586.0,0.09,0.1,359.0,442.0,1.06,1.22,1.22,1.22,139.0,1.21,1.21,3701.0,0.09,0.1,2340.0,2788.0,1.15,1.21,1.21,1.2
NAF,82.2,0.15,82.3,0.16,82.3,0.63,0.63,6.1,41.0,1.13,1.15,73.7,0.72,0.72,147.0,1.17,1.17,3957.0,0.09,0.08,2481.0,2842.0,1.14,1.14,1.15,1.16,82.2,0.61,0.61,6.3,41.6,1.13,1.18,74.0,0.73,0.73,76.4,0.12,76.4,0.66,0.66,7.5,41.6,0.97,1.0,69.9,0.66,0.66,15.0,1.05,1.05,445.0,0.1,0.08,293.0,293.0,0.95,1.05,1.05,1.05,222.0,1.18,1.18,5840.0,0.09,0.09,3584.0,4235.0,1.14,1.14,1.15,1.17
Brehze,81.4,0.12,79.9,0.12,79.9,0.66,0.66,2.3,51.1,1.15,1.14,71.1,0.76,0.76,135.0,1.14,1.14,3665.0,0.1,0.1,2426.0,2777.0,1.15,1.13,1.13,1.13,81.4,0.65,0.65,2.3,51.0,1.2,1.2,72.8,0.78,0.78,85.2,0.13,85.2,0.63,0.63,2.3,51.0,1.37,1.29,74.7,0.81,0.81,21.0,1.27,1.27,613.0,0.1,0.11,385.0,498.0,1.22,1.21,1.25,1.22,224.0,1.18,1.18,5898.0,0.1,0.11,3822.0,4600.0,1.15,1.12,1.13,1.15
Twistzz,74.1,0.11,74.5,0.11,74.5,0.6,0.6,3.7,65.6,1.04,1.2,75.1,0.72,0.72,147.0,1.14,1.14,3957.0,0.1,0.13,2360.0,2839.0,1.09,1.12,1.12,1.13,74.1,0.59,0.59,3.7,66.2,1.03,1.21,75.1,0.71,0.71,77.1,0.11,77.1,0.65,0.65,4.8,64.6,0.98,1.11,73.7,0.72,0.72,15.0,1.1,1.1,445.0,0.11,0.13,289.0,322.0,1.02,1.1,1.1,1.1,223.0,1.14,1.14,5868.0,0.1,0.12,3477.0,4190.0,1.08,1.11,1.12,1.12
ropz,80.4,0.11,79.2,0.12,79.2,0.59,0.59,2.8,49.7,1.1,1.29,74.9,0.76,0.76,77.0,1.18,1.18,2105.0,0.07,0.1,1243.0,1601.0,1.14,1.14,1.15,1.17,80.4,0.59,0.59,2.9,50.3,1.11,1.29,75.0,0.76,0.76,71.6,0.1,71.6,0.62,0.62,2.5,48.4,1.0,1.05,70.1,0.65,0.65,12.0,1.05,1.05,345.0,0.06,0.11,215.0,225.0,0.96,1.0,1.05,1.05,200.0,1.19,1.19,5273.0,0.06,0.1,3108.0,4005.0,1.13,1.16,1.18,1.19
