Player,2018,2019,2020,2021,2022,2024,Total
ALEX,0,3,0,0,0,0,3
AMANEK,0,2,0,0,0,0,2
AdreN,1,1,0,0,0,0,2
Aerial,1,0,0,0,0,0,1
Ax1Le,0,0,0,1,0,0,1
B1T,0,0,0,1,0,0,1
BnTeT,1,0,0,0,0,0,1
Boombl4,0,0,1,1,0,0,2
Brehze,2,6,0,0,0,0,8
Brollan,0,4,0,1,1,1,7
CeRq,1,2,0,0,0,0,3
Edward,1,0,0,0,0,0,1
EliGE,5,11,0,2,2,1,21
Ethan,1,3,0,0,0,0,4
FL1T,0,0,0,2,1,0,3
FalleN,2,1,0,0,0,0,3
GuardiaN,4,1,0,0,0,0,5
HEN1,0,1,0,0,0,0,1
Hobbit,0,0,0,3,0,0,3
JACKZ,0,1,0,0,0,0,1
JW,1,2,0,0,0,0,3
Jabbi,0,0,0,0,1,0,1
Jame,1,1,0,1,0,0,3
Jimpphat,0,0,0,0,0,5,5
KRIMZ,4,4,0,1,0,0,9
KSCERATO,0,3,0,1,1,2,7
Kjaerbye,0,1,0,0,0,0,1
Lekr0,2,0,0,0,0,0,2
Liazz,0,1,0,0,0,0,1
Magisk,9,10,0,0,0,0,19
NAF,9,10,0,2,0,0,21
NBK-,0,1,0,0,0,0,1
NertZ,0,0,0,0,0,1,1
NiKo,7,3,0,1,3,6,20
Perfecto,0,0,0,1,0,0,1
REZ,2,0,0,0,0,0,2
RUSH,1,0,0,0,0,0,1
RpK,0,1,0,0,0,0,1
Senzu,0,0,0,0,0,1,1
Skadoodle,1,0,0,0,0,0,1
Sonic,0,0,0,1,0,0,1
Spinx,0,0,0,0,1,2,3
Stewie2K,0,6,0,0,0,0,6
Stewie2k,1,0,0,0,0,0,1
SunPayus,0,0,0,0,1,0,1
TeSeS,0,0,0,1,1,0,2
Twistzz,3,8,0,1,4,0,16
XANTARES,0,0,0,1,0,2,3
Xyp9x,8,7,0,0,0,0,15
YEKINDAR,0,0,0,3,2,0,5
ZywOo,0,5,0,2,3,7,17
aizy,1,0,0,0,0,0,1
allu,1,2,0,0,0,0,3
anarkez,0,0,0,0,1,0,1
apEX,1,2,0,0,0,0,3
arT,0,0,0,1,0,0,1
autimatic,2,2,0,0,0,0,4
b1t,0,0,0,0,2,3,5
blameF,0,0,0,0,1,0,1
boltz,0,0,0,0,1,0,1
broky,0,1,0,1,2,4,8
buster,0,1,0,1,0,0,2
cadiaN,0,0,0,1,2,0,3
chopper,1,0,0,0,0,0,1
chrisJ,3,2,0,0,0,0,5
coldzera,5,3,0,0,0,0,8
cromen,1,0,0,0,0,0,1
degster,0,0,0,0,2,0,2
dev1ce,5,7,0,2,0,1,15
device,1,0,0,0,0,0,1
donk,0,0,0,0,0,3,3
draken,1,0,0,0,0,0,1
dupreeh,8,5,0,1,0,0,14
dycha,0,0,0,0,2,0,2
electroNic,0,0,0,0,3,0,3
electronic,7,3,0,2,0,0,12
ewjerkz,0,0,0,0,0,1,1
f0rest,1,1,0,0,0,0,2
fame,0,0,0,0,1,0,1
fer,1,2,0,0,0,0,3
flameZ,0,0,0,1,0,4,5
flamie,4,1,0,0,0,0,5
flusha,0,2,0,0,0,0,2
frozen,0,3,1,1,1,3,9
gla1ve,9,3,0,0,0,0,12
hades,0,0,0,1,0,1,2
huNter-,0,0,0,1,1,0,2
iM,0,0,0,0,0,2,2
insani,0,0,0,0,0,1,1
jL,0,0,0,0,0,4,4
jR,1,0,0,0,0,0,1
jkaem,0,2,0,0,0,0,2
jks,1,3,0,0,1,0,5
k0nfig,1,0,0,1,0,0,2
karrigan,0,0,0,1,0,0,1
kennyS,1,2,0,0,0,0,3
kioShiMa,0,1,0,0,0,0,1
m0NESY,0,0,0,0,0,5,5
maden,0,0,1,0,0,0,1
magixx,0,0,0,0,0,1,1
malbsMd,0,0,0,0,0,2,2
mantuu,0,1,0,1,0,0,2
mertz,1,0,0,0,0,0,1
mezii,0,0,0,0,0,1,1
mir,0,0,0,1,0,0,1
mzinho,0,0,0,0,0,1,1
nafany,0,0,0,2,1,0,3
nahtE,1,0,0,0,0,0,1
nawwk,0,0,0,1,0,0,1
nex,1,0,0,0,0,0,1
nitr0,1,3,0,0,0,0,4
oSee,0,0,0,1,0,0,1
olofmeister,1,1,0,0,0,0,2
oskar,4,0,0,0,0,0,4
qikert,0,0,0,1,0,0,1
r1nkle,0,0,0,0,0,1,1
rain,4,4,0,0,1,0,9
refrezh,0,0,0,1,0,0,1
ropz,3,3,1,0,3,1,11
s1mple,4,5,1,2,2,0,14
sergej,0,6,0,0,0,0,6
sh1ro,0,0,0,3,2,7,12
shox,0,0,0,1,0,0,1
siuhy,0,0,0,0,0,1,1
sjuush,0,0,0,0,1,0,1
smooya,0,1,0,0,0,0,1
somebody,1,0,0,0,0,0,1
stavn,0,0,0,2,4,1,7
suNny,4,0,0,0,0,0,4
syrsoN,0,0,0,1,0,0,1
tabseN,2,1,0,1,1,0,5
tarik,0,1,0,0,0,0,1
tonyblack,1,0,0,0,0,0,1
torzsi,0,0,0,0,0,2,2
twist,0,1,0,0,0,0,1
valde,2,0,0,0,0,0,2
w0nderful,0,0,0,0,1,4,5
woxic,1,2,1,0,0,2,6
xertioN,0,0,0,0,0,3,3
xseveN,0,1,0,0,0,0,1
yuurih,0,1,0,0,2,0,3
zont1x,0,0,0,0,0,2,2
