Player,HLTV_ID,Rating,DPR,KAST,Impact,ADR,KPR,Rank,MVPs,EVPs
ZywOo,11893,1.3,0.61,74.8,1.39,85.8,0.81,1,6,0
s1mple,7998,1.29,0.6,73.9,1.35,84.4,0.85,2,2,1
device,7592,1.2,0.62,71.6,1.27,80.5,0.77,3,3,0
NiKo,3741,1.19,0.67,70.5,1.29,86.1,0.77,4,1,0
electronic,8918,1.14,0.65,70.8,1.18,80.8,0.72,5,1,0
blameF,15165,1.23,0.57,75.6,1.2,83.7,0.75,6,0,0
ropz,11816,1.17,0.63,72.5,1.14,81.2,0.78,7,0,1
EliGE,8738,1.17,0.68,70.5,1.29,84.2,0.76,8,1,0
dupreeh,7398,1.1,0.64,71.2,1.1,75.2,0.7,9,0,0
syrsoN,7266,1.16,0.6,70.6,1.24,73.9,0.73,10,1,0
Magisk,9032,1.1,0.64,72.2,1.09,76.5,0.69,11,0,0
stavn,10994,1.13,0.66,72.6,1.11,80.9,0.72,12,0,0
huNter-,3972,1.12,0.68,69.7,1.17,81.0,0.73,13,0,0
yuurih,12553,1.16,0.62,74.0,1.11,80.4,0.75,14,3,0
Brollan,13666,1.12,0.67,70.2,1.2,78.9,0.74,15,1,0
HEN1,8565,1.14,0.57,74.6,1.03,74.6,0.69,16,1,0
KRIMZ,7528,1.08,0.64,72.2,1.01,77.2,0.7,17,0,0
KSCERATO,15631,1.15,0.58,75.3,1.03,75.9,0.7,18,0,0
jks,4679,1.13,0.63,73.6,1.08,79.0,0.7,19,0,0
Brehze,9136,1.16,0.64,73.0,1.12,79.1,0.76,20,1,0
