Nationality,Player,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
France,ZywOo,0,0,0,0,0,0,0,5,6,1,1,5,2,5,25
Ukraine,s1mple,0,0,0,0,1,1,6,1,2,8,2,0,0,0,21
Denmark,dev1ce,0,0,0,4,1,0,7,3,3,1,0,0,0,0,19
Sweden,GeT_RiGhT,3,6,1,0,0,0,0,0,0,0,0,0,0,0,10
France,kennyS,0,1,1,3,1,4,0,0,0,0,0,0,0,0,10
Bosnia and Herzegovina,NiKo,0,0,0,0,0,2,2,2,1,0,0,1,0,1,9
Sweden,f0rest,2,3,1,0,2,0,0,0,0,0,0,0,0,0,8
Brazil,coldzera,0,0,0,0,3,5,0,0,0,0,0,0,0,0,8
Slovakia,GuardiaN,0,0,1,4,1,0,1,1,0,0,0,0,0,0,8
Poland,Snax,0,0,1,3,2,1,0,0,0,0,0,0,0,0,7
Russia,donk,0,0,0,0,0,0,0,0,0,0,0,1,5,1,7
Sweden,olofmeister,0,0,0,4,2,0,0,0,0,0,0,0,0,0,6
Sweden,KRIMZ,0,0,2,2,0,0,1,0,0,0,0,0,0,0,5
Canada,NAF,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5
Estonia,ropz,0,0,0,0,0,0,0,1,0,0,1,3,0,0,5
France,NBK-,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4
France,shox,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4
Sweden,flusha,0,0,2,1,0,0,1,0,0,0,0,0,0,0,4
France,Happy,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4
Brazil,FalleN,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4
United States,EliGE,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4
Russia,sh1ro,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4
Norway,rain,0,0,0,0,0,2,0,0,0,0,1,1,0,0,4
Russia,m0NESY,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4
Sweden,JW,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3
Poland,pashaBiceps,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
United States,Brehze,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
Brazil,yuurih,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Kazakhstan,HObbit,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3
Russia,Ax1Le,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3
Russia,Jame,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3
Latvia,broky,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3
Sweden,Xizt,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Russia,Dosia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
France,kioShiMa,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Russia,flamie,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
Poland,NEO,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
Denmark,k0nfig,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
United States,Stewie2K,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Czechia,oskar,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
Denmark,Magisk,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Canada,Twistzz,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Denmark,dupreeh,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Bulgaria,CeRq,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
Denmark,valde,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
United States,Ethan,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
Germany,syrsoN,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
Bosnia and Herzegovina,huNter-,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
Lithuania,jL,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
