Player,Rating,DPR,KAST,Impact,ADR,KPR
s1mple,1.35,0.59,76.4,1.42,87.2,0.88
device,1.23,0.6,72.5,1.31,81.4,0.79
NiKo,1.22,0.64,72.1,1.27,84.8,0.8
electronic,1.21,0.63,74.5,1.18,84.5,0.77
dupreeh,1.17,0.63,73.4,1.2,79.8,0.74
NAF,1.18,0.62,73.9,1.14,82.6,0.73
Magisk,1.16,0.61,74.5,1.14,78.9,0.72
gla1ve,1.11,0.62,72.7,1.09,77.1,0.69
KRIMZ,1.11,0.68,70.8,1.11,82.0,0.74
coldzera,1.18,0.6,73.9,1.1,79.7,0.78
GuardiaN,1.1,0.62,70.0,1.11,71.8,0.72
Twistzz,1.15,0.61,74.3,1.09,76.8,0.74
Xyp9x,1.13,0.58,74.0,1.05,76.3,0.68
oskar,1.13,0.64,69.3,1.2,76.8,0.74
EliGE,1.14,0.68,71.3,1.22,82.1,0.74
suNny,1.12,0.67,70.1,1.14,81.4,0.73
autimatic,1.14,0.65,71.7,1.14,79.2,0.76
rain,1.09,0.68,70.4,1.14,78.9,0.69
ropz,1.1,0.61,72.2,1.0,75.4,0.7
valde,1.15,0.64,73.2,1.07,81.4,0.75
