Rank,Country,Full Name,Nickname,HLTV_ID,Link
1,Ukraine,Aleksandr Kostyliev,s1mple,7998,https://www.hltv.org/stats/players/7998/s1mple
2,Denmark,Nicolai Reedtz,device,7592,https://www.hltv.org/stats/players/7592/device
3,Bosnia and Herzegovina,Nikola Kovac,NiKo,3741,https://www.hltv.org/stats/players/3741/niko
4,Russia,Denis Sharipov,electronic,8918,https://www.hltv.org/stats/players/8918/electronic
5,Denmark,Peter Rasmussen,dupreeh,7398,https://www.hltv.org/stats/players/7398/dupreeh
6,Canada,Keith Markovic,NAF,8520,https://www.hltv.org/stats/players/8520/naf
7,Denmark,Emil Reif,Magisk,9032,https://www.hltv.org/stats/players/9032/magisk
8,Denmark,Lukas Rossander,gla1ve,7412,https://www.hltv.org/stats/players/7412/gla1ve
9,Sweden,Freddy Johansson,KRIMZ,7528,https://www.hltv.org/stats/players/7528/krimz
10,Brazil,Marcelo David,coldzera,9216,https://www.hltv.org/stats/players/9216/coldzera
11,Slovakia,Ladislav Kovács,GuardiaN,2757,https://www.hltv.org/stats/players/2757/guardian
12,Canada,Russel Van Dulken,Twistzz,10394,https://www.hltv.org/stats/players/10394/twistzz
13,Denmark,Andreas Højsleth,Xyp9x,4954,https://www.hltv.org/stats/players/4954/xyp9x
14,Czech Republic,Tomáš Štastný,oskar,798,https://www.hltv.org/stats/players/798/oskar
15,United States,Jonathan Jablonowski,EliGE,8738,https://www.hltv.org/stats/players/8738/elige
16,Finland,Miikka Kemppi,suNny,5479,https://www.hltv.org/stats/players/5479/sunny
17,United States,Timothy Ta,autimatic,8735,https://www.hltv.org/stats/players/8735/autimatic
18,Norway,Håvard Nygaard,rain,8183,https://www.hltv.org/stats/players/8183/rain
19,Estonia,Robin Kool,ropz,11816,https://www.hltv.org/stats/players/11816/ropz
20,Denmark,Valdemar Bjørn Vangså,valde,9031,https://www.hltv.org/stats/players/9031/valde
