Rank,Country,Full Name,Nickname
1,Ukraine,Aleksandr Kostyliev,s1mple
2,France,Mathieu Herbaut,⁠ZywOo⁠
3,Bosnia and Herzegovina,Nikola Kovač,NiKo
4,Russia,Dmitry Sokolov,sh1ro
5,Russia,Sergey Rykhtorov,⁠Ax1Le⁠
6,Kazakhstan,Abay Khasenov,HObbit
7,Russia,Denis Sharipov,electroNic
8,Latvia,Mareks Gaļinskis,YEKINDAR
9,Ukraine,Valeriy Vakhovskiy,⁠b1t⁠
10,Russia,Dzhami Ali,⁠Jame⁠
11,Denmark,Nicolai Reedtz,device
12,Bosnia and Herzegovina,Nemanja Kovač,huNter-
13,Denmark,Benjamin Bremer,blameF
14,Canada,Keith Markovic,NAF
15,Brazil,Kaike Cerato,KSCERATO
16,Denmark,Martin Lund,stavn
17,Canada,Russel Van Dulken,Twistzz
18,Estonia,Robin Kool,ropz
19,United States,Jonathan Jablonowski,⁠EliGE⁠
20,Latvia,Helvijs Saukants,broky
