Rank,Country,Full Name,Nickname,HLTV_ID
1,France,Mathieu Herbaut,ZywOo,11893
2,Bosnia and Herzegovina,Nikola Kovač,⁠NiKo⁠,3741
3,Estonia,Robin Kool,ropz,11816
4,Russia,Ilya Osipov,m0NESY,19230
5,Israel,Lotan Giladi,Spinx,18221
6,Spain,Álvaro García,SunPayus,19164
7,Ukraine,Oleksandr Kostyliev,⁠s1mple⁠,7998
8,Russia,Dmitry Sokolov,sh1ro,16920
9,Denmark,Martin Lund,stavn,10994
10,Latvia,Helvijs Saukants,⁠broky⁠,18053
11,Denmark,Nicolai Reedtz,device,7592
12,Slovakia,David Čerňanský,frozen,9960
13,Bosnia and Herzegovina,Nemanja Kovač,huNter-⁠,3972
14,Israel,Guy Iluz,NertZ,9436
15,Denmark,Jakob Nygaard,⁠jabbi⁠,17956
16,Denmark,Benjamin Bremer,blameF,15165
17,Denmark,Emil Reif,Magisk,9032
18,Denmark,Casper Møller,cadiaN,7964
19,Brazil,Kaike Cerato,KSCERATO,15631
20,Canada,Russel Van Dulken,Twistzz,10394
